SH0911922.09FU,90,11657,43,2,96,27,33,1596,0,949,11,116,10,28,434,7,61,249,384,4,36,54,0,588,472,17,2,1,29,422,164,5,1,0,84,35,470,46,347,23,29,509,5,25,67,0,12,24,21,11,3,3,4,18,4,1,9,0,17,0,127,20,57,41,0,371,37,6,85,24,16,188,36,1,1,71,106,0,0,0,7,104,305,585,148,0,2,19,55,0,10,37,7,0,4,198,1225,0,5,2,0,6,0,14,32,0,88,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_isabellina|JN206400|SH0911922.09FU|refs|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_isabellina
SH1278398.09FU,60,10223,392,203,120,0,6,1,0,28,0,0,538,0,25,0,0,8,0,68,4,0,0,8,20,0,750,65,0,0,179,938,0,0,53,0,12,0,10,91,0,0,60,366,178,13,0,53,590,555,125,0,0,16,99,10,184,0,0,0,0,2,167,0,0,1,666,51,0,161,2,18,33,3,0,219,130,209,9,0,0,2,5,0,0,0,58,0,58,0,0,49,0,0,5,2,0,361,0,0,0,40,0,1127,34,0,0,0,894,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,100%|Ramaria_sp|UDB06259095|SH1278398.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;s__Ramaria_sp
SH1275471.09FU,58,9319,17,0,2,72,0,322,0,97,0,0,3,0,0,0,313,61,1,15,14,138,0,143,9,0,0,0,2,87,28,16,0,0,1065,0,6,0,34,0,22,23,11,22,194,0,0,145,37,6,0,0,0,1,0,93,8,0,0,0,0,42,18,0,0,0,0,4,0,3,3443,0,599,1091,15,2,29,11,528,0,0,12,2,71,73,0,88,0,2,0,0,2,0,0,4,3,110,0,48,0,0,37,0,0,73,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100%|Rickenella_sp|UDB0945946|SH1275471.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_sp
SH1188092.09FU,60,8324,0,0,1903,262,468,19,0,5,0,0,367,0,307,0,0,1111,0,209,14,12,0,8,12,0,89,166,0,1,25,51,9,0,512,0,2,0,6,2,5,785,12,69,21,0,0,9,49,37,0,0,0,0,0,347,9,0,0,0,0,19,11,0,0,10,51,5,0,230,2,2,8,0,0,9,30,129,70,0,0,2,7,0,147,0,355,15,10,256,0,3,2,0,1,8,0,0,8,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Piloderma_sp|UDB04648469|SH1188092.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp
SH0908945.09FU,93,8086,72,356,23,257,25,343,0,33,0,20,15,5,135,50,157,55,118,58,2,7,0,114,7,69,15,14,7,10,11,3,550,474,4,74,14,92,9,107,8,164,5,53,14,13,3,25,27,18,43,11,9,255,112,3,48,0,124,0,5,71,21,23,0,10,288,108,5,384,5,2,26,0,0,111,16,2,10,0,126,12,61,4,12,0,119,6,4,3,68,339,343,0,41,59,7,1434,4,7,0,2,0,30,11,0,5,0,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|JN206381|SH0908945.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1261925.09FU,60,8022,111,35,18,0,0,1496,0,19,0,0,57,0,1,0,26,0,321,213,1,0,0,406,6,0,0,36,0,418,17,0,8,1,0,1,5,311,17,13,0,4,4,149,8,0,1886,268,80,8,29,0,0,9,0,8,6,0,283,0,0,0,45,94,0,0,0,18,5,241,55,7,456,21,0,52,50,37,49,0,0,2,110,0,0,0,0,0,25,0,0,116,0,0,2,20,0,0,1,317,0,2,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Lactifluus_clarkeae|UDB02631443|SH1261925.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_clarkeae
SH0911831.09FU,73,8010,0,73,282,20,1,0,0,4,0,1,43,0,30,0,32,0,10,3,2,0,0,0,1,1,59,129,44,0,3,2,6,35,0,7,5,7,1,23,0,12,5,7,3,3,1,60,5,5,6,16,3,295,5,590,99,0,1,0,0,1,21,2020,0,0,0,1038,53,15,11,30,94,4,6,66,20,8,80,0,45,0,29,0,0,0,4,0,28,0,2,167,51,0,2160,8,0,24,12,0,0,2,0,58,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|UDB06936345|SH0911831.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1275469.09FU,73,7792,0,357,111,0,0,0,0,8,0,31,95,35,16,134,76,12,0,301,0,0,0,2,4,0,58,86,0,0,23,351,11,20,15,0,3,143,0,405,0,0,7,33,15,1,56,102,63,159,280,0,137,23,0,6,230,0,138,0,0,331,87,9,0,0,125,603,0,40,122,8,118,494,1,19,69,49,68,0,133,0,22,0,1,0,34,4,14,321,395,12,1,0,325,9,0,16,4,622,0,4,0,29,10,0,87,0,30,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,100%|Rickenella_sp|UDB06659943|SH1275469.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Rickenella;s__Rickenella_sp
SH1126152.09FU,56,7680,4,12,7,0,0,1,0,48,0,0,0,0,0,0,0,0,13,5,6,0,0,6,6,0,18,3,0,0,186,209,0,0,0,0,26,0,5,1,0,3,706,2,694,13,0,93,0,4,0,1,13,154,4,0,795,0,0,0,0,1,1291,0,0,1,1,532,11,0,24,0,117,14,805,109,1003,7,2,0,0,0,26,0,0,0,2,1,0,0,0,56,4,0,130,5,0,119,109,0,0,167,0,33,0,0,12,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Mycena_sp|UDB05004671|SH1126152.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sp
SH1068874.09FU,3,7306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7287,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100%|Peniophora_meridionalis|MH857789|SH1068874.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora_meridionalis
