"Genus","Family","Type","Notes"
"Dichelachne","Poaceae","VAM","Classification based on other genera in family"
"Calotis","Asteraceae","VAM",""
"Exocarpos","Santalaceae","VAM","Classification based on other genera in family"
"Bursaria","Pittosporaceae","VAM","Classification based on other genera in family"
"Caladenia","Orchidaceae","Orchid",""
"Cheilanthes","Dennstaedtiaceae","VAM",""
"Drosera","Droseraceae","NM",""
"Echinopogon","Poaceae","VAM","Classification based on other genera in family"
"Imperata","Poaceae","VAM",""
"Pullenia","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Trachymene","Araliaceae","VAM",""
"Pomaderris","Rhamnaceae","ECM",""
"Syncarpia","Myrtaceae","ECM | VAM","Classification based on other genera in family"
"Corybas","Orchidaceae","Orchid",""
"Isolepis","Cyperaceae","NM",""
"Micrantheum","Picrodendraceae","VAM","Classification based on other genera in family"
"Burchardia","Colchicaceae","VAM",""
"Darwinia","Myrtaceae","ECM | VAM","Classification based on other genera in family"
"Dodonaea","Sapindaceae","VAM",""
"Euryomyrtus","Myrtaceae","ECM | VAM","Classification based on other genera in family"
"Hypolaena","Restionaceae","NM","Classification based on other genera in family"
"Micromyrtus","Myrtaceae","ECM | VAM","Classification based on other genera in family"
"Ptilothrix","Cyperaceae","NM","Classification based on other genera in family"
"Selaginella","Selaginellaceae","NM",""
"Viminaria","Fabaceae","VAM | ECM",""
"Xyris","Xyridaceae","NM",""
"Orianthera","Loganiaceae","VAM","Classification based on other genera in family"
"Olearia","Asteraceae","VAM",""
"Bauera","Cunoniaceae","VAM","Classification based on other genera in family"
"Caleana","Orchidaceae","Orchid | MHOrchid","Classification based on other genera in family"
"Crowea","Rutaceae","VAM","Classification based on other genera in family"
"Olax","Olacaceae","NM","Non-mycorrhizal Bellgard et al. 1994"
"Ricinocarpos","Euphorbiaceae","VAM","Classification based on other genera in family"
"Cassinia","Asteraceae","VAM","Classification based on other genera in family"
"Chiloglottis","Orchidaceae","Orchid | MHOrchid","Classification based on other genera in family"
"Clematis","Ranunculaceae","VAM",""
NA,"Ericaceae","Ericoid","Classification based on other genera in family"
"Doryanthes","Doryanthaceae","Unkown",""
"Baeckea","Myrtaceae","VAM",""
"Kunzea","Myrtaceae","ECM",""
"Caesia","Asparagaceae","Unkown",""
"Prostanthera","Lamiaceae","VAM","Classification based on other genera in family"
"Bulbine","Asphodelaceae","VAM",""
"Scleria","Cyperaceae","NM",""
"Sowerbaea","Asparagaceae","VAM",""
"Thelymitra","Orchidaceae","Orchid",""
"Parsonsia","Apocynaceae","VAM","Classification based on other genera in family"
"Coopernookia","Goodeniaceae","VAM","Classification based on other genera in family"
"Brachyscome","Asteraceae","VAM","Classification based on other genera in family"
"Trifolium","Fabaceae","VAM | ECM | NM","Classification based on other genera in family"
"Asplenium","Aspleniaceae","VAM",""
"Astrotricha","Araliaceae","VAM","Classification based on other genera in family"
"Digitaria","Poaceae","VAM",""
"Baloskion","Restionaceae","NM","Classification based on other genera in family"
"Centrolepis","Centrolepidaceae","NM",""
"Cyperus","Cyperaceae","NM",""
"Eriocaulon","Eriocaulaceae","VAM",""
"Juncus","Juncaceae","NM",""
"Leptocarpus","Restionaceae","NM",""
"Melaleuca","Myrtaceae","ECM | VAM",""
"Utricularia","Lentibulariaceae","NM",""
"Aira","Poaceae","VAM","Classification based on other genera in family"
"Astroloma","Ericaceae","Ericoid",""
"Calytrix","Myrtaceae","ECM | VAM",""
"Danthonia","Poaceae","VAM",""
"Diuris","Orchidaceae","Orchid",""
"Glossodia","Orchidaceae","Orchid | MHOrchid","Classification based on other genera in family"
"Hydrocotyle","Apiaceae","VAM",""
"Hypochaeris","Asteraceae","VAM","Classification based on other genera in family"
"Lissanthe","Ericaceae","Ericoid",""
"Melichrus","Ericaceae","Ericoid",""
"Chrysocephalum","Asteraceae","VAM","Classification based on other genera in family"
"Pentameris","Poaceae","VAM","Classification based on other genera in family"
"Stuartina","Asteraceae","VAM","Classification based on other genera in family"
"Xerochrysum","Asteraceae","VAM","Classification based on other genera in family"
"Amyema","Loranthaceae","NM",""
"Callitris","Cupressaceae","VAM",""
"Calochilus","Orchidaceae","Orchid",""
"Ozothamnus","Asteraceae","VAM","Classification based on other genera in family"
