"Site","Transect","Location","Res_total_Location","myc_2nd_w","Res_remain_w","mean_undam_resin_w","myc_w_per_bead","hypo_bag","myc_2nd_w_est_yield","Tube_ID","harvest_date","1st_Soil_Sample","Bag_Install","Pair","Latitude","Longitude","Site_Pair","Days_Installed","log10_myc_2nd_w_est_yield","Biomass_day","log10_biomass_day","biomass_g_ha_day","Vegetation.Class","Vegetation.Class_abbreviation","Fire.Interval","Most.Recent.Fire_Year","2nd.Most.Recent.Fire_Year","3rd.Most.Recent.Fire_Year","Fire.Severity","FESM_Fire.Severity.Category","Fire.Type","Sample.Date_Fieldwork","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen"
"8","2","16",28.0895,0.92,27.065,28.42025,0.0339922409015333,28.42025,0.966067984481803,"56",2024-03-08,2023-10-18,2023-10-18,4,-33.65039,150.32069,"26-8",142,-0.0149923101824407,0.00680329566536481,-2.1672806545655,453.553044357654,"Sydney Montane DSF","SM","Long",2019,2002,"NA","Low","2","Wildfire",2022-07-27,50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722
"8","2","33",28.751,0.928,27.72,28.42025,0.0334776334776335,28.42025,0.951442712842713,"62",2024-03-08,2023-10-18,2023-10-18,4,-33.65039,150.32069,"26-8",142,-0.0216173558218229,0.00670030079466699,-2.17390570020488,446.686719644466,"Sydney Montane DSF","SM","Long",2019,2002,"NA","Low","2","Wildfire",2022-07-27,50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722
"8","2","47",14.217,0.095,13.261,28.42025,0.00716386396199382,28.42025,0.203598804765855,"71",2024-03-08,2023-10-18,2023-10-18,4,-33.65039,150.32069,"26-8",142,-0.691224775869255,0.00143379439975954,-2.84351312025231,95.5862933173027,"Sydney Montane DSF","SM","Long",2019,2002,"NA","Low","2","Wildfire",2022-07-27,50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722
"10","1","3",28.38,0.428,27.34,28.12,0.0156547183613753,28.12,0.440210680321873,"43",2024-03-06,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",140,-0.356339424870845,0.00314436200229909,-2.50246746054908,209.624133486606,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274
"10","1","16",28.12,0.899,27.11,28.12,0.033161195130948,28.12,0.932492807082258,"40",2024-03-06,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",140,-0.0303545094994703,0.00666066290773041,-2.17648254517771,444.044193848694,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274
"10","1","33",24.766,0.735,23.766,28.12,0.0309265337036102,28.12,0.869654127745519,"41",2024-03-06,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",140,-0.0606534373559552,0.00621181519818228,-2.20678147303419,414.121013212152,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274
"10","1","47",27.86,0.557,26.85,28.12,0.0207448789571695,28.12,0.583345996275605,"42",2024-03-06,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",140,-0.234073778514059,0.00416675711625432,-2.3802018141923,277.783807750288,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274
"10","2","3",28.723,0.842,27.743,28.19075,0.0303499981977436,28.19075,0.85558921169304,"86",2024-03-08,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",142,-0.0677347001777897,0.00602527613868338,-2.22002304456085,401.685075912225,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579
"10","2","16",29.2,1.239,28.163,28.19075,0.0439938926960906,28.19075,1.24022083052232,"74",2024-03-08,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",142,0.0934990214029044,0.00873394951072054,-2.05878932298015,582.263300714703,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579
"10","2","33",28.383,2.476,27.397,28.19075,0.0903748585611563,28.19075,2.54773504398292,"83",2024-03-08,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",142,0.406154260822123,0.0179417960843867,-1.74613408356093,1196.11973895912,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579
