"OTU","kingdom","phylum","class","order","family","genus","species","guild","mean_gs"
"ITSall_OTUa_4327","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_14184","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUj_10443","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_586","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_1517","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_90","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_8584","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria_alba","Ectomycorrhizal","57.595"
"ITSall_OTUe_2810","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","Scleroderma_areolatum","Ectomycorrhizal","59.13"
"ITSall_OTUj_3346","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUm_14529","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Austroboletus",NA,"Ectomycorrhizal","73.71"
"ITSall_OTUc_407","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_119","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"Ectomycorrhizal","62.11"
"ITSall_OTUa_515","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"Ectomycorrhizal","111.84"
"ITSall_OTUf_540","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"Ectomycorrhizal","111.84"
"ITSall_OTUa_3548","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_vermifera","Orchid Mycorrhizal","31.78"
"ITSall_OTUj_19097","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_17688","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_9536","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUf_1","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_797","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"Ectomycorrhizal","111.84"
"ITSall_OTUa_720","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"Ectomycorrhizal","80.2764285714286"
"ITSall_OTUj_3647","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_6306","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_8394","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUj_12409","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_392","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_593","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUj_19366","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUe_4361","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUa_9461","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_lateritia","Ectomycorrhizal","unknown"
"ITSall_OTUk_1891","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Densospora",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_28125","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUg_230","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_2879","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_21383","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUf_542","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_240","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_4352","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUb_26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_14471","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_1001","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_706","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_5515","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_272","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUj_685","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_9582","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUc_2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_605","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus",NA,"Ectomycorrhizal","58.0687931034483"
"ITSall_OTUj_330","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_1190","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",NA,"Ectomycorrhizal","54.6493333333333"
"ITSall_OTUa_242","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_6301","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUm_4005","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_1016","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"Ectomycorrhizal","57.595"
"ITSall_OTUj_175","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_2917","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Acephala",NA,"Ectomycorrhizal","73.68"
"ITSall_OTUa_8076","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_3174","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUf_395","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_1513","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_65","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_serrata","Ectomycorrhizal","unknown"
"ITSall_OTUj_931","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUm_1869","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_948","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_581","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"Ectomycorrhizal","69.8671428571429"
"ITSall_OTUb_2083","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_1255","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"Ectomycorrhizal","59.13"
"ITSall_OTUf_14","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_89","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUf_11","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_548","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUd_3965","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea","Descolea_recedens","Ectomycorrhizal","unknown"
"ITSall_OTUj_26487","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUe_4441","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUn_1693","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_762","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"Ectomycorrhizal","59.13"
"ITSall_OTUn_1678","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_644","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_286","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_9587","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUf_1054","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_26677","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_brunneidisca","Ectomycorrhizal","unknown"
"ITSall_OTUa_9946","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_12769","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_9138","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUf_574","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_13635","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"Ectomycorrhizal","69.8671428571429"
"ITSall_OTUj_17844","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_19104","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_177","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus",NA,"Ectomycorrhizal","160.335"
"ITSall_OTUn_5685","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_14563","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_484","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_8629","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_6570","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_851","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUa_6712","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUe_7905","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_9095","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_6733","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_94","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_6757","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_28202","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUa_994","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_464","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_umerensis","Ectomycorrhizal","69.8671428571429"
"ITSall_OTUa_4555","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_386","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_12223","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_20919","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"Ectomycorrhizal","62.11"
"ITSall_OTUm_3363","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_14517","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA,"Orchid Mycorrhizal","31.78"
"ITSall_OTUj_1545","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"Ectomycorrhizal","62.11"
"ITSall_OTUm_7112","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_6744","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_7447","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_17852","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_6467","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_39","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_2566","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Arbuscular Mycorrhizal","109.863333333333"
"ITSall_OTUj_1749","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_1273","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUb_342","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Arbuscular Mycorrhizal","109.863333333333"
"ITSall_OTUa_2145","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_5244","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_14021","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_172","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUc_718","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_14456","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_2565","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_11060","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Chondrogaster",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUb_8759","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"Ectomycorrhizal","80.2764285714286"
"ITSall_OTUb_3146","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
