"Site","Transect","Location","Fire.Interval","Fire.Severity","Latitude","Longitude","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","perc_myco_host_freq","AM_host","EcM_host","Biomass_day","Tube_ID","ratio_myco_nonmyco","myco_reads"
5,1,3,"Short","Low",-33.5781,150.27821,0.923518164435946,0.240917782026769,0.240917782026769,5.34,0.690058479532164,0.569767441860465,0.0813953488372093,0.00957654865023968,73,0.761047463175123,1395
5,1,16.2,"Short","Low",-33.5781,150.27821,0.788753799392097,2.46960486322188,52.0782674772037,5.26,0.690058479532164,0.569767441860465,0.0813953488372093,0.025566274992613,94,0.995223621363439,2292
5,1,47,"Short","Low",-33.5781,150.27821,0.862121212121212,0.254545454545455,0.254545454545455,5.14,0.690058479532164,0.569767441860465,0.0813953488372093,0.0248884026188168,91,1,826
5,2,3,"Short","Low",-33.5781,150.27821,1.27745664739884,1.73193641618497,17.6127167630058,5.23,0.725490196078431,0.592233009708738,0.0728155339805825,0.0039209241794864,80,0.982913669064748,3279
5,2,33,"Short","Low",-33.5781,150.27821,0.896875,0.2625,2.4421875,5.68,0.725490196078431,0.592233009708738,0.0728155339805825,0.00527455872004005,78,0.998703063241107,16171
5,2,47,"Short","Low",-33.5781,150.27821,0.981553398058252,2.0126213592233,0.224271844660194,5.47,0.725490196078431,0.592233009708738,0.0728155339805825,0.00806274072713958,72,1,755
7,1,3,"Long","Low",-33.63916,150.36966,0.690291262135922,0.244660194174757,19.346359223301,4.83,0.646551724137931,0.563559322033898,0.0677966101694915,0.0044830577668912,38,1,38762
7,1,16,"Long","Low",-33.63916,150.36966,1.75102040816327,0.257142857142857,2.27831632653061,5.35,0.646551724137931,0.563559322033898,0.0677966101694915,0.00323628608000281,27,1,3361
7,1,33,"Long","Low",-33.63916,150.36966,0.10188679245283,0.237735849056604,12.0799528301887,5.18,0.646551724137931,0.563559322033898,0.0677966101694915,0.0176668147609954,13,1,62
7,2,16,"Long","Low",-33.63916,150.36966,0.109867751780264,0.353255340793489,0.965920651068159,5.37,0.607758620689655,0.48068669527897,0.107296137339056,0.0152558175480655,52,1,456
7,2,33,"Long","Low",-33.63916,150.36966,0.84393063583815,2.16546242774566,3.80491329479769,5.25,0.607758620689655,0.48068669527897,0.107296137339056,0.00199844421504428,44,0.958045112781955,12742
7,2,47,"Long","Low",-33.63916,150.36966,3.01363636363636,2.62272727272727,22.5075757575758,5.45,0.607758620689655,0.48068669527897,0.107296137339056,0.0213186634152384,79,1,13576
8,1,3,"Long","Low",-33.65039,150.32069,1.1031976744186,0.490552325581395,0.25,5.35,0.715151515151515,0.551515151515152,0.145454545454545,0.00829057941307003,65,0.999669842009691,102947
8,1,16,"Long","Low",-33.65039,150.32069,0.768361581920904,0.815677966101695,22.2005649717514,5.49,0.715151515151515,0.551515151515152,0.145454545454545,0.00607342087920444,70,1,114348
8,1,33,"Long","Low",-33.65039,150.32069,0.852969814995132,0.245374878286271,0.245374878286271,5.48,0.715151515151515,0.551515151515152,0.145454545454545,0.0118627728422334,55,1,2265
8,1,47,"Long","Low",-33.65039,150.32069,1.46071774975752,0.244422890397672,0.244422890397672,5.51,0.715151515151515,0.551515151515152,0.145454545454545,0.0133379103070305,63,1,74655
8,2,3,"Long","Low",-33.65039,150.32069,0.771587743732591,0.233983286908078,4.89345403899721,5.25,0.769230769230769,0.569230769230769,0.117948717948718,0.00420903376675782,64,0.921499865120043,3416
8,2,16,"Long","Low",-33.65039,150.32069,0.752562225475842,0.227672035139092,12.699121522694,5.21,0.769230769230769,0.569230769230769,0.117948717948718,0.00680329566536481,56,1,36825
8,2,33,"Long","Low",-33.65039,150.32069,0.842386032977692,0.061105722599418,0.244422890397672,5.17,0.769230769230769,0.569230769230769,0.117948717948718,0.00670030079466699,62,1,2053
10,1,3,"Short","High",-33.48607,150.40622,0.755769230769231,0.242307692307692,5.22764423076923,5.17,0.724770642201835,0.643835616438356,0.045662100456621,0.00314436200229909,43,0.979601298099212,4226
10,1,16,"Short","High",-33.48607,150.40622,1.01584158415842,2.08886138613861,15.5294554455446,5.27,0.724770642201835,0.643835616438356,0.045662100456621,0.00666066290773041,40,1,26
10,1,33,"Short","High",-33.48607,150.40622,0.7635,0.711,0.387,4.89,0.724770642201835,0.643835616438356,0.045662100456621,0.00621181519818228,41,1,7549
10,1,47,"Short","High",-33.48607,150.40622,0.822772277227723,0.201237623762376,0.141831683168317,5.42,0.724770642201835,0.643835616438356,0.045662100456621,0.00416675711625432,42,1,201
10,2,3,"Short","High",-33.48607,150.40622,0.893877551020408,0.257142857142857,1.77091836734694,4.77,0.740932642487047,0.606217616580311,0.0829015544041451,0.00602527613868338,86,1,6116
10,2,16,"Short","High",-33.48607,150.40622,0.591610414657667,3.47878495660559,9.03471552555449,5.23,0.740932642487047,0.606217616580311,0.0829015544041451,0.00873394951072054,74,1,5892
10,2,33,"Short","High",-33.48607,150.40622,1.03296146044625,0.893002028397566,12.1863590263692,5.42,0.740932642487047,0.606217616580311,0.0829015544041451,0.0179417960843867,83,0.907692307692308,118
10,2,47,"Short","High",-33.48607,150.40622,1.46052631578947,0.245614035087719,5.47149122807018,5.31,0.740932642487047,0.606217616580311,0.0829015544041451,0.0045433671392517,92,0.999207255200406,31511
11,1,3,"Short","High",-33.51962,150.35631,0.978991596638656,0.146358543417367,0.235294117647059,5.23,0.73125,0.65625,0.075,0.0298004472653146,90,1,43864
11,1,16,"Short","High",-33.51962,150.35631,0.2835,0.252,2.5275,5.09,0.73125,0.65625,0.075,0.0123637693231379,88,1,1362
