"OTU","kingdom","phylum","class","order","family","genus","species","exploration_type","guild","guild2"
"ITSall_OTUb_8161","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUk_1642","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal-Wood Saprotroph","Ectomycorrhizal"
"ITSall_OTUn_12223","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_49","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_4555","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_8076","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_386","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUe_4441","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_8735","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_644","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_3253","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_119","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_7180","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_3024","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_286","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_7612","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_175","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_6744","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_9587","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_7447","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUb_2083","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_10308","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal-Undefined Saprotroph","Ectomycorrhizal"
"ITSall_OTUj_17852","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_593","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_13","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_12577","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_14529","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Austroboletus",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1016","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_139","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_19092","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUf_540","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"mat","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_5244","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_1432","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Labyrinthomyces",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_8584","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria_alba","short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_464","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_umerensis","medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_12409","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_19429","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_7420","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
