"Site","Transect","Sample","Fire.Interval","Fire.Severity","Carbon","Nitrogen","Hydrogen","Sample_mg_CN","C_N","Sample_mg_P","Percent_Phos_","C_P","N_P","C_N_P_ratio"
"5",1,"5.1","Short","Low",44.9728858095816,3.17806103699212,6.191381594906,1.649,14.1510453342791,1.986,0.0133043806646526,3380.30660300233,238.873279192595,"3380:239:1"
"7",1,"7.1","Long","Low",48.1413645619758,3.22852621155638,6.69884692451072,1.073,14.9112509570638,1.824,0.00759046052631579,6342.35095421046,425.33996459941,"6342:425:1"
"7",2,"7.2","Long","Low",45.4854156928949,3.65168410158543,6.6278990017616,1.703,12.4560105495288,1.975,0.0249303797468354,1824.49750684879,146.475269878268,"1824:146:1"
"8",1,"8.1","Long","Low",45.300884198895,2.59118955801105,6.23499475138121,0.905,17.4826592901475,1.892,0.0399378964059197,1134.28318152932,64.8804717122502,"1134:65:1"
"8",2,"8.2","Long","Low",46.1368429946524,4.71745721925134,6.73782727272727,0.935,9.78002361237615,NA,NA,NA,NA,NA
"10",2,"10.2","Short","High",48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637,1.789,0.0217453884851873,2231.99430639567,167.489724573942,"2232:167:1"
"11",1,"11.1","Short","High",49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,0.002,24584.3801849606,2099.76726804124,"24584:2100:1"
"11",2,"11.2","Short","High",41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128,0.5,NA,NA,NA,NA
"12",1,"12.1","Long","High",44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882,0.615,NA,NA,NA,NA
"12",2,"12.2","Long","High",42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123,0.785,NA,NA,NA,NA
"26",1,"26.1","Short","Low",44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,"1860:143:1"
"26",2,"26.2","Short","Low",46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,"1532:98:1"
"29",1,"29.1","Long","High",46.5847776098027,2.6510314290261,6.78983020369192,1.571,17.572321889415,0.617,NA,NA,NA,NA
"31",1,"31.1","Short","High",42.9353645607375,4.43879351952278,6.02368383947939,0.922,9.67275552960471,2.027,0.0565182535767143,759.672527787146,78.5373439308035,"760:79:1"
"31",2,"31.2","Short","High",45.5041745748299,3.65054175170068,5.85668735827664,1.764,12.4650470176463,2.072,0.0582082528957529,781.747816006862,62.7151919202687,"782:63:1"
"34",1,"34.1","Short","Low",49.2487812882393,3.59365967029232,6.82258055744391,1.471,13.7043531682657,1.99,0.0163643216080402,3009.52171851977,219.603339287017,"3010:220:1"
"34",2,"34.2","Short","Low",47.520238163482,4.20272205414013,6.38210894373673,1.884,11.3070142520297,1.923,0.0521723868954758,910.831207678611,80.5545290185788,"911:81:1"
"49",1,"49.1","Long","Low",47.7530920130641,3.24335988717341,6.70613093824228,0.842,14.7233405093016,1.833,0.0221718494271686,2153.77125710358,146.282785196941,"2154:146:1"
"49",2,"49.2","Long","Low",51.1325640588235,4.74221205882353,6.91180117647059,1.7,10.7824288379691,NA,NA,NA,NA,NA
"56",1,"56.1","Long","High",43.9139742075665,3.93797712167689,6.20597980572597,0.978,11.1514040967477,1.973,0.0322693867207299,1360.85555599841,122.034458099792,"1361:122:1"
"29",2,"29.2","Long","High",45.4098149122807,4.30351067251463,6.73964546783626,0.342,10.5518072029659,NA,NA,NA,NA,NA
"10",1,"10.1","Short","High",44.9555159462617,3.61189813084112,6.65191325934579,0.856,12.4465071598774,NA,NA,NA,NA,NA
"5",2,"5.2","Short","Low",41.9787969811321,3.51453886792454,6.4082893081761,0.795,11.9443257163128,NA,NA,NA,NA,NA
NA,NA,"Summary","Overall","Overall",45.7767938844452,3.62876987433444,NA,NA,12.9827073497348,NA,0.0286600949585379,3704.77329735618,292.395879366306,"3705:292:1"
NA,NA,"Summary","Long","By Interval",46.0043205986002,3.6354538757252,NA,NA,13.2510747766924,NA,0.0253799945653939,2563.15169113811,181.002589897332,"2563:181:1"
NA,NA,"Summary","Short","By Interval",45.5682277298031,3.62264287305957,NA,NA,12.7367038750237,NA,0.030482372954729,4339.00752303288,354.281040182403,"4339:354:1"
NA,NA,"Summary","By Severity","High",44.9626874574768,3.67555505163419,NA,NA,12.6105555613217,NA,0.0341482563356769,5943.73007822974,506.108797313209,"5944:506:1"
NA,NA,"Summary","By Severity","Low",46.5230581091662,3.58588346180967,NA,NA,13.3238464891134,NA,0.0256111164156829,2460.90841909309,173.666480506916,"2461:174:1"
